Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),EMS:currentDayOfMonth [](TimeStep),EMS:currentDayOfWeek [](TimeStep),EMS:currentTimeOfDay [](TimeStep),EMS:currentHoliday [](TimeStep),BASEMENT:Zone Air Temperature [C](TimeStep),CORE_BOTTOM:Zone Air Temperature [C](TimeStep),CORE_MID:Zone Air Temperature [C](TimeStep),CORE_TOP:Zone Air Temperature [C](TimeStep),GROUNDFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),MIDFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_4:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_4:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_4:Zone Air Temperature [C](TimeStep),TOPFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),Whole Building:Facility Total Building Electric Demand Power [W](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),HW-LOOP-TEMP-SCHEDULE:Schedule Value [](TimeStep),CW-LOOP-TEMP-SCHEDULE:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),BLDG_LIGHT_SCH:Schedule Value [](TimeStep),COOLSYS1 CHILLER 1:Chiller Evaporator Outlet Temperature [C](TimeStep),COOLSYS1 CHILLER 2:Chiller Evaporator Outlet Temperature [C](TimeStep),HEATSYS1 BOILER:Boiler Outlet Temperature [C](TimeStep) 
 07/17  00:05:00,26.0583333333333,23.7105968558398,82.5,3.64166666666667,238.333333333333,17.,5.,8.333333333333333E-002,0.0,24.7632701302119,24.6545035873497,24.6839000408092,24.7792149007375,25.1880345379485,25.1584009389364,24.8115828511062,24.0053649500218,24.7922485106857,23.9291494871921,24.826042073473,23.9169774902642,24.8261687422572,23.8204646355437,24.9255442658094,24.2435138251437,24.9124874062829,23.9508880831402,25.6905409497802,512050.741415891,2.22371398712517,512052.965129878,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  00:10:00,26.0166666666667,23.7410132747338,83.,3.68333333333333,236.666666666667,17.,5.,0.166666666666667,0.0,24.9955482823145,25.200148621524,25.2504376707394,25.4118295295749,25.3316824724434,25.3052539852582,25.4495516852686,24.8297916317928,25.3852775308233,24.8206490426957,25.4916839055978,24.7592433113537,25.442469167635,24.7446113765437,25.6237579232023,25.0833368945527,25.5692826756745,24.9049041025793,25.8739365236211,512050.741415891,2.22159085575835,512052.963006747,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  00:15:00,25.975,23.7711156089752,83.5,3.725,235.,17.,5.,0.25,0.0,25.162525317882,25.5574568590917,25.619335623512,25.8158027112473,25.4294925148474,25.4047790595055,25.8170017614333,25.2909785282493,25.7303572650489,25.3137965720019,25.8703970336892,25.2271717567662,25.7974839066397,25.2506607479673,26.0149636257907,25.5463975863792,25.9408221784561,25.4222925232021,25.9808125012182,512050.741415891,2.21998185205296,512052.961397743,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  00:20:00,25.9333333333333,23.8009025499904,84.,3.76666666666667,233.333333333333,17.,5.,0.333333333333333,0.0,25.2779619052429,25.8258176462952,25.8933929822542,26.1092795437571,25.5037858048001,25.4802115222276,26.0701078684274,25.5991862947375,25.9719328368728,25.6388021517098,26.123317290465,25.5378258268013,26.0389464682371,25.5808762284855,26.2727252788089,25.8499579969381,26.1885895330319,25.7559334157167,26.05219940588,512050.741415891,2.21885755325823,512052.960273445,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  00:25:00,25.8916666666667,23.8303852323155,84.5,3.80833333333333,231.666666666667,17.,5.,0.416666666666667,0.0,25.3721980890812,26.0995812145972,26.170212842169,26.4062797166466,25.5778049645764,25.5552454111967,26.2888912772421,25.8795320851348,26.1819888738475,25.9323134433302,26.3446513116083,25.8243292256752,26.2512080362925,25.8804047149525,26.5075797190927,26.1272081439381,26.4160024891793,26.0533793883496,26.1152932229955,512050.741415891,2.2182161289087,512052.95963202,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  00:30:00,25.85,23.8595483704896,85.,3.85,230.,17.,5.,0.5,0.0,25.4185701685664,26.2574760018273,26.3310684597543,26.5883375276625,25.6276743833035,25.6056531744173,26.4001880817517,26.0305352459641,26.2885167734731,26.093403273212,26.4602253655643,25.9798623390218,26.3613886115336,26.0469639392109,26.6348048184536,26.2854632403115,26.5390567068904,26.2295370295934,26.1535283440453,512050.741415891,2.21798150600769,512052.959397397,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  00:35:00,25.8083333333333,23.8884092549663,85.5,3.89166666666667,228.333333333333,17.,5.,0.583333333333333,0.0,25.4494535514856,26.3738144224462,26.4503539761731,26.7246350118289,25.6698244339622,25.649059207499,26.4792612948937,26.1392769380469,26.3641517833264,26.2101184209671,26.5428052713848,26.0909262027211,26.4400682333231,26.1666977647884,26.7262532480804,26.3999474292997,26.6274806706973,26.3587961685941,26.1847086081478,512050.741415891,2.21815752076301,512052.959573412,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  00:40:00,25.7666666666667,23.9169690440234,86.,3.93333333333333,226.666666666667,17.,5.,0.666666666666667,0.0,25.4705287160215,26.4614296387739,26.5408805155832,26.8281961041795,25.704107807849,25.6845599994871,26.5386577163588,26.2210193446543,26.4208875076813,26.2980884807269,26.6050548773377,26.1746326686693,26.4993632905235,26.2570329642432,26.7952071982409,26.4863850896836,26.6941251592331,26.4571357964603,26.2110482781837,512050.741415891,2.21872336332191,512052.960139255,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  00:45:00,25.725,23.9452223645422,86.5,3.975,225.,17.,5.,0.75,0.0,25.4854089163701,26.529502635998,26.6118821121922,26.909293156021,25.7321293902973,25.7137000733317,26.5857541069681,26.2860904345095,26.4657848278639,26.3681660706177,26.6545677643171,26.2412429533248,26.5465140885173,26.3287707385008,26.849984164985,26.5550561684723,26.7470409912583,26.5343557726319,26.2338237485106,512050.741415891,2.21965986236706,512052.961075754,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  00:50:00,25.6833333333333,23.9731677359606,87.,4.01666666666667,223.333333333333,17.,5.,0.833333333333333,0.0,25.4963654000782,26.5840484907747,26.6694264739919,26.9748938386624,25.7552351648522,25.7378262827431,26.6244946497262,26.3397775223252,26.5026769442972,26.4259325626357,26.6955059163757,26.296353035828,26.5855164935341,26.3879047279803,26.8952645014329,26.6117838099854,26.7907919049689,26.5976989727849,26.253704456766,512050.741415891,2.22094932652276,512052.962365218,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  00:55:00,25.6416666666667,24.0008248944335,87.5,4.05833333333333,221.666666666667,17.,5.,0.916666666666667,0.0,25.5048469137935,26.6292058857215,26.7177085604825,27.0298738395042,25.7745454490161,25.7580797113622,26.6574634893234,26.3855986255918,26.5340457337194,26.4751614473809,26.7305902700335,26.343655791075,26.6189591716584,26.4384406784909,26.9341081938314,26.6604300915379,26.8283394743815,26.6517098991495,26.2712076257311,512050.741415891,2.22257540422679,512052.963991296,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  01:00:00,25.6,24.0281795299291,88.,4.1,220.,17.,5.,1.,0.0,25.5117452421302,26.667668863586,26.7594578735391,27.0774162951038,25.7909118719774,25.7753377293321,26.6860611074488,26.4254302044338,26.56126469134,26.5178623214094,26.7613237792422,26.3851496944719,26.6482911665161,26.4825644439042,26.9682272953868,26.7031231334703,26.8613600056496,26.6988737877313,26.2866280922473,512050.741415891,2.22452295958832,512052.965938851,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  01:05:00,25.55,24.0135456970152,88.25,4.05833333333333,220.,17.,5.,1.08333333333333,0.0,25.517609413108,26.7011900280592,26.7964433907853,27.1195739035655,25.804957346255,25.7902441300972,26.7107173854249,26.4601167697141,26.5847725936594,26.5549396479313,26.7881909247343,26.4217292114141,26.6739960631936,26.5212533729773,26.9982488101085,26.740833690946,26.8904810622058,26.7403471292545,26.2996780249923,512050.741415891,2.22677796212801,512052.968193853,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  01:10:00,25.5,23.998806510212,88.5,4.01666666666667,220.,17.,5.,1.16666666666667,0.0,25.5227826133206,26.7309586150743,26.8298595514181,27.1577175688115,25.8171831615997,25.803318862202,26.7321656984707,26.4905612749263,26.6052678492961,26.5873802754484,26.8120133155252,26.4542822590519,26.6967542015263,26.5554759317494,27.0250292358086,26.7744715263844,26.9164392801393,26.7771629668798,26.310713452539,512050.741415891,2.22690324160583,512052.968319133,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  01:15:00,25.45,23.9839440398642,88.75,3.975,220.,17.,5.,1.25,0.0,25.5274816260105,26.7577979615903,26.8605271816021,27.1927735656478,25.8279885941236,25.8149741658856,26.7510816605828,26.5176279550034,26.6233767335329,26.6161391950195,26.8333397195963,26.4836658680943,26.7173355400243,26.5861912207138,27.0491466777337,26.8048902101163,26.9398965654765,26.8103045578859,26.3200850475947,512050.741415891,2.22481044273583,512052.966226334,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  01:20:00,25.4,23.9689613385146,89.,3.93333333333333,220.,17.,5.,1.33333333333333,0.0,25.5318456775768,26.7822931358871,26.8890239544377,27.2253838391459,25.837658085622,25.8255052416593,26.7678038221643,26.5417428962801,26.6394290626356,26.6416784549218,26.8525022047998,26.5103176665729,26.735918451278,26.6138943734458,27.0709450489331,26.8325342672781,26.9613505841,26.8402935940821,26.3279458018945,512050.741415891,2.2229999908202,512052.964415882,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  01:25:00,25.35,23.9538679504065,89.25,3.89166666666667,220.,17.,5.,1.41666666666667,0.0,25.5359659965992,26.8048707462987,26.9157661749327,27.2560023148493,25.8464272963842,25.8351537982224,26.7828876664775,26.5633782309936,26.6539323713881,26.6645202191647,26.8699326885381,26.5346917644588,26.7528069533165,26.6392640662991,27.0908657802627,26.8578490885548,26.9809829062705,26.8678002357477,26.3345373534156,512050.741415891,2.22168700346759,512052.963102895,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  01:30:00,25.3,23.9386550780042,89.5,3.85,220.,17.,5.,1.5,0.0,25.5399037636591,26.8258501860222,26.9410613449399,27.2849610657163,25.854461228615,25.8440898023448,26.7962956168003,26.5827611073154,26.6668759430392,26.6849101927577,26.8857609735145,26.5570083760346,26.7682487314446,26.6623184655749,27.1089871368267,26.8810541205335,26.9989384010703,26.8928830963823,26.3399349215988,512050.741415891,2.22084351106668,512052.962259402,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  01:35:00,25.25,23.9233344677808,89.75,3.80833333333333,220.,17.,5.,1.58333333333333,0.0,25.5437010765798,26.8454760779872,26.9651417244381,27.3125067790187,25.8619013490451,25.8524574918531,26.8081964073418,26.600210612788,26.6784059567308,26.7032020013084,26.9002099817686,26.5777208713791,26.7823921563841,26.683412913025,27.1256637489698,26.9025754774154,27.0154940273089,26.9158726444448,26.3443236517179,512050.741415891,2.22044391289465,512052.961859804,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  01:40:00,25.2,23.9078894790469,90.,3.76666666666667,220.,17.,5.,1.66666666666667,0.0,25.5473877040486,26.8639400057342,26.9881868042328,27.3388303069397,25.8688435482996,25.8603557869636,26.8187210569995,26.615871288328,26.6886474080317,26.7195514279711,26.9133987383439,26.5967548012667,26.795347346224,26.7027211517582,27.1409535057173,26.9223740685621,27.0306720812067,26.9369729801173,26.3477415274816,512050.741415891,2.2204647291661,512052.961880621,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  01:45:00,25.15,23.8923335184379,90.25,3.725,220.,17.,5.,1.75,0.0,25.5509852879805,26.8813950384767,27.0103379943807,27.3640801614449,25.8753755599456,25.8678727846327,26.8280566744539,26.630178553522,26.6977705589278,26.734443484622,26.9254905436108,26.6143368815176,26.8072659691038,26.7204418728198,27.1550120260793,26.940634689734,27.0447384416758,26.9563498464111,26.3503373102822,512050.741415891,2.22088438415678,512052.962300276,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  01:50:00,25.1,23.8766657309184,90.5,3.68333333333333,220.,17.,5.,1.83333333333333,0.0,25.5545099915312,26.8979659960222,27.0317090067356,27.3883773154254,25.8815559827795,25.8750675953728,26.8362930059878,26.6430352071013,26.7058626096078,26.7477566769887,26.9365644281764,26.6305843037103,26.8182261462216,26.7367748086169,27.1679211655501,26.957507885878,27.0577104541423,26.9742305435715,26.3521285269751,512050.741415891,2.22168301591477,512052.963098907,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  01:55:00,25.05,23.8608763110374,90.75,3.64166666666667,220.,17.,5.,1.91666666666667,0.0,25.557974193105,26.9137561471445,27.0523927438863,27.4118196311873,25.8874412425697,25.8819961471608,26.8435684062754,26.6545608469969,26.7130493863877,26.7596326795712,26.9467427768646,26.6456265483833,26.8283409406935,26.7518390266784,27.1798068441041,26.9730797578985,27.0696978992269,26.9906553043895,26.3532376998911,512050.741415891,2.22284230880153,512052.9642582,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  02:00:00,25.,23.8449880142566,91.,3.6,220.,17.,5.,2.,0.0,25.5613875882548,26.9288521900483,27.0724663911947,27.4344903045413,25.8930675209548,25.8886949991795,26.849944953878,26.6648493253464,26.7193914481952,26.770173178014,26.9560815020012,26.6596220224902,26.8376650089128,26.7657067795116,27.1907284821425,26.9875302162331,27.0807598453587,27.0058468121494,26.3536705087313,512050.741415891,2.22434534570528,512052.965761237,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  02:05:00,24.95,23.7962228348999,91.,3.51666666666667,220.,17.,5.,2.08333333333333,0.0,25.5647399874144,26.9431887758696,27.0918013253093,27.4562440104732,25.8984431197826,25.8951585849677,26.855297920515,26.6738242709261,26.7247779049094,26.7792925210405,26.964405370408,26.6723583956325,26.8460500081532,26.778211387332,27.2005221262976,27.0006591091482,27.0907543041254,27.0195831756072,26.3534434581937,512050.741415891,2.22617647726135,512052.967592369,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  02:10:00,24.9,23.7474609976683,91.,3.43333333333333,220.,17.,5.,2.16666666666667,0.0,25.5680550099033,26.9569418532133,27.1106073629421,27.4773120422074,25.9035983581323,25.9014210378552,26.8597983565276,26.6816920663197,26.7293638519949,26.7872160543715,26.9718952846563,26.6840439511294,26.8536604612016,26.7895834952372,27.2093667026585,27.0126633538598,27.0998495278963,27.0320788467885,26.3525841599439,512050.741415891,2.22832120582242,512052.969737097,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  02:15:00,24.85,23.6987037881252,91.,3.35,220.,17.,5.,2.25,0.0,25.5713434072941,26.9702210504372,27.1290070949244,27.4978294464027,25.9085763698779,25.9075311259693,26.8635935828535,26.6886462673985,26.7332841343655,26.7941560644184,26.9787051121585,26.6948731650397,26.8606359754359,26.8000337983999,27.2174213813925,27.0237340500519,27.1081932569776,27.043546582826,26.3512223682138,512050.741415891,2.22857718294368,512052.969993074,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  02:20:00,24.8,23.6499420742781,91.,3.26666666666667,220.,17.,5.,2.33333333333333,0.0,25.5746076578384,26.9830720190173,27.1470391334818,27.5178405667075,25.9134021463255,25.9135160821579,26.8667351271204,26.6947479944456,26.7365875329452,26.8001793873169,26.984884785074,26.7049011286353,26.867022032306,26.8096234590192,27.2247388474504,27.033927951704,27.1158343727944,27.0540516284213,26.3493719147857,512050.741415891,2.22659934911361,512052.96801524,15.6,82.2,6.7,27.,0.5,9.47309369460175,9.47309369460175,80.0813668031307 
 07/17  02:25:00,24.75,23.601189263233,91.,3.18333333333333,220.,17.,5.,2.41666666666667,0.0,25.5771239067009,26.992733097975,27.1607583989948,26.7001811785335,25.9170362169031,25.9180730176224,26.8687385519421,26.6989292306181,26.7387378807912,26.804260028502,26.9892680370494,26.7121723675982,26.871589405084,26.8165149482415,25.9642238342233,24.8541730322687,26.0148156339334,24.4499503504008,26.4444744291322,512050.741415891,159897.535644043,671948.277059934,15.6,82.2,6.7,27.,0.5,6.7,6.7,80.0813668031307 
 07/17  02:30:00,24.7,23.5524271005121,91.,3.1,220.,17.,5.,2.5,0.0,25.5803702168842,27.0050581702723,27.1784206897767,25.9355765058161,25.9216710404808,25.9239294240997,26.8709239105957,26.703791100116,26.7411369685085,26.8089509970934,26.994548598893,26.7210641436888,26.8771348849543,26.8248785484524,25.1076898837667,23.7031851606093,25.2320406466624,23.2136569996003,26.2836578277341,512050.741415891,161537.268333269,673588.00974916,15.6,82.2,6.7,27.,0.5,6.7,6.7,80.0813668031307 
 07/17  02:35:00,24.65,23.5036715474043,91.,3.01666666666667,220.,17.,5.,2.58333333333333,0.0,25.5836035002896,27.0170999443372,27.1958673554106,25.5038429669677,25.9262253045104,25.9297433653888,26.8726316022275,26.7080316979128,26.743082536988,26.8129779758162,26.9993732068506,26.7293755757652,26.8822526588148,26.8326202331084,24.7641420106233,23.3404734402381,24.9063029018741,22.8538148496403,26.0477234024812,512050.741415891,161706.628703427,673757.370119318,15.6,82.2,6.7,27.,0.5,6.7,6.7,80.0813668031307 
 07/17  02:40:00,24.6,23.4549110331083,91.,2.93333333333333,220.,17.,5.,2.66666666666667,0.0,25.5875340168932,27.0314168116721,27.2168349390968,25.2316187190642,25.9316926783354,25.9367838672312,26.8741155141183,26.712415334416,26.7448842564835,26.8170522477856,27.0046601420921,26.7387406590878,26.8879318303343,26.8412452677949,24.5740460786511,23.1407273806774,24.7235964156053,22.6512531998659,25.8346041180698,512050.741415891,161113.416090583,673164.157506474,15.6,82.2,6.7,27.,0.5,6.7,6.7,80.0813668031307 
 07/17  02:45:00,24.55,23.4061575250279,91.,2.85,220.,17.,5.,2.75,0.0,25.5907235923853,27.0427365195469,27.2336062865124,25.1143340934143,25.9360433877139,25.9424456625057,26.8748296979734,26.7153523995004,26.7458769284818,26.8197000225094,27.0084789741725,26.74575749033,26.8920949521319,26.8476220206417,24.4857230816346,23.0390798900967,24.6391469448021,22.543851586456,25.7184182694277,512050.741415891,160148.107837059,672198.84925295,15.6,82.2,6.7,27.,0.5,6.7,6.7,80.0813668031307 
 07/17  02:50:00,24.5,23.3574035923313,91.,2.76666666666667,220.,17.,5.,2.83333333333333,0.0,25.5938983313697,27.0537750904042,27.2501115992259,25.0373811911589,25.9403060284934,25.9480365320994,26.8751452003831,26.7177665482283,26.7464853832282,26.8217969129779,27.0118867010479,26.7522449430919,26.8958661916725,26.8534435145135,24.418536737641,22.9584609169483,24.5761819530894,22.45739840677,25.6283064675778,512050.741415891,158811.263220111,670862.004636002,15.6,82.2,6.7,27.,0.5,6.7,6.7,80.0813668031307 
 07/17  02:55:00,24.45,23.308653132904,91.,2.68333333333333,220.,17.,5.,2.91666666666667,0.0,25.5963518989892,27.0621359392855,27.262721555455,25.6653219121881,25.9435442000192,25.9523208635783,26.8751134693015,26.7192876847244,26.7466900246461,26.8230538989723,27.0142513887119,26.7569296284076,26.8985245440342,26.8575935899691,25.3229081868055,24.3550296581883,25.3870192214032,24.0549356196296,25.7896981982632,512050.741415891,2.22271228776734,512052.964128179,15.6,82.2,6.7,27.,0.5,9.70280971197077,9.70280971197077,80.0813668031307 
 07/17  03:00:00,24.4,23.2598896225196,91.,2.6,220.,17.,5.,3.,0.0,25.5995063231264,27.0727481450481,27.2788285615241,26.1977608155296,25.9476718699361,25.9578063183887,26.8748089797902,26.7208911093862,26.7466965509464,26.8243020969636,27.017008980229,26.7625815888738,26.901672783504,26.8625440011486,25.9589593550075,25.2856950484969,25.9613841574866,25.1014163772597,25.9031171175993,512050.741415891,2.2237900658498,512052.965205957,15.6,82.2,6.7,27.,0.5,9.70280971197077,9.70280971197077,80.0813668031307 
 07/17  03:05:00,24.3583333333333,23.2084795524834,90.9166666666667,2.64166666666667,221.666666666667,17.,5.,3.08333333333333,0.0,25.6026499233094,27.0831366596961,27.2947186633323,26.5453639533758,25.9517662587868,25.963273640682,26.8747030575009,26.7225477005504,26.7468812031486,26.8256001892625,27.0200549524878,26.768344152497,26.9050312905716,26.8676931346855,26.2974708240194,25.7631228492572,26.2691721343262,25.633009601664,25.9559208680188,524272.939218089,2.22521595276162,524275.164434042,15.6,82.2,6.7,27.,0.5,9.70280971197077,9.70280971197077,80.0813668031307 
 07/17  03:10:00,24.3166666666667,23.1570879642991,90.8333333333333,2.68333333333333,223.333333333333,17.,5.,3.16666666666667,0.0,25.6064856676443,27.0955958722821,27.3139205686846,26.8666747281242,25.9567458696621,25.9699483253515,26.8747363294838,26.7245154488944,26.7472586770838,26.8271441114303,27.0239634214036,26.775374109682,26.9092404726549,26.8740707090945,26.5483441238647,26.1030576090888,26.5005352070749,26.0074549229311,25.9899911955493,524272.939218089,2.22699876760983,524275.166216857,15.6,82.2,6.7,27.,0.5,9.70280971197077,9.70280971197077,80.0813668031307 
 07/17  03:15:00,24.275,23.1057065496163,90.75,2.725,225.,17.,5.,3.25,0.0,25.609609771613,27.1055551938602,27.3293928856805,27.0625891908941,25.9607686617667,25.975375885968,26.8747397242136,26.7260079004854,26.7475444880024,26.8282985960076,27.0271676702454,26.7810037875092,26.9126531703239,26.8792129602976,26.68263105186,26.2774413665141,26.627720563182,26.1966378968696,26.005397941715,524272.939218089,2.22907298489837,524275.168291074,15.6,82.2,6.7,27.,0.5,9.70280971197077,9.70280971197077,80.0813668031307 
 07/17  03:20:00,24.2333333333333,23.0543410958785,90.6666666666667,2.76666666666667,226.666666666667,17.,5.,3.33333333333333,0.0,25.6127219275548,27.1153153587254,27.344649562967,27.2024173785428,25.9647501236113,25.9807725177238,26.8746381440683,26.7273379364293,26.7477276455257,26.8292894293228,27.0302822779128,26.7864412693919,26.9159629362809,26.8841838533515,26.7819589529475,26.4122752212975,26.7197577142392,26.3417793411515,26.0161922101209,524272.939218089,2.22948350147639,524275.168701591,15.6,82.2,6.7,27.,0.5,9.70280971197077,9.70280971197077,80.0813668031307 
 07/17  03:25:00,24.1916666666667,23.0030046661979,90.5833333333333,2.80833333333333,228.333333333333,17.,5.,3.41666666666667,0.0,25.6158272955286,27.124919309474,27.3597484967795,27.3027086832305,25.9686957821987,25.9861448641525,26.8744160851004,26.7284990924696,26.7477921108564,26.8301085737474,27.033285022282,26.7916796395778,26.9191531461611,26.8889697193981,26.8517040795139,26.5123709882545,26.7841179481292,26.4530064480231,26.0242141349379,524272.939218089,2.22764575351917,524275.166863843,15.6,82.2,6.7,27.,0.5,9.70280971197077,9.70280971197077,80.0813668031307 
 07/17  03:30:00,24.15,22.9516704970564,90.5,2.85,230.,17.,5.,3.5,0.0,25.6189277487791,27.1343917314357,27.3747204826482,27.3766392423683,25.972610358669,25.9915001200494,26.874059098548,26.7294751699348,26.7477233953971,26.8307380284974,27.0361525261389,26.7966991009712,26.9222034386304,26.8935477077524,26.9013062369838,26.5851629475395,26.8298563544187,26.5350065052438,26.0307977399073,524272.939218089,2.22562239949307,524275.164840489,15.6,82.2,6.7,27.,0.5,9.70280971197077,9.70280971197077,80.0813668031307 
 07/17  03:35:00,24.1083333333333,22.9003530849858,90.4166666666667,2.89166666666667,231.666666666667,17.,5.,3.58333333333333,0.0,25.6220231843036,27.1437421228694,27.3895731975408,27.4331878165894,25.9764973803946,25.9968424289817,26.8735677782545,26.7302695096067,26.7475207303078,26.8311822824341,27.0388751838242,26.8014938518885,26.9251051170472,26.8979135177718,26.9378277535946,26.639264864143,26.8635352623589,26.5962714854246,26.0361957434274,524272.939218089,2.22410980506317,524275.163327894,15.6,82.2,6.7,27.,0.5,9.70280971197077,9.70280971197077,80.0813668031307 
 07/17  03:40:00,24.0666666666667,22.849056018652,90.3333333333333,2.93333333333333,233.333333333333,17.,5.,3.66666666666667,0.0,25.6251136465395,27.1529787020678,27.4043128576451,27.4782036462471,25.9803581645523,26.002173133901,26.8729374150001,26.730875922592,26.7471789677879,26.8314350038944,27.0414409110396,26.8060466092055,26.927846400934,26.9020545139399,26.9657593570732,26.6808094020095,26.8893102873528,26.6433910647075,26.0406827505903,524272.939218089,2.22307886983958,524275.162296959,15.6,82.2,6.7,27.,0.5,9.70280971197077,9.70280971197077,80.0813668031307 
