Time,VAV_1:Des Heat Mass Flow [kg/s],VAV_1:Des Cool Mass Flow [kg/s],VAV_1:Des Heat Cap [W],VAV_1:Des Sens Cool Cap [W],VAV_2:Des Heat Mass Flow [kg/s],VAV_2:Des Cool Mass Flow [kg/s],VAV_2:Des Heat Cap [W],VAV_2:Des Sens Cool Cap [W],VAV_3:Des Heat Mass Flow [kg/s],VAV_3:Des Cool Mass Flow [kg/s],VAV_3:Des Heat Cap [W],VAV_3:Des Sens Cool Cap [W],VAV_5:Des Heat Mass Flow [kg/s],VAV_5:Des Cool Mass Flow [kg/s],VAV_5:Des Heat Cap [W],VAV_5:Des Sens Cool Cap [W] 
00:05:00,3.863641E+00,7.991079E+00,1.125711E+05,8.532055E+04,4.133942E+01,8.284671E+01,1.134208E+06,8.862458E+05,5.412964E+00,8.909748E+00,9.445019E+04,9.565909E+04,1.409379E+00,4.613081E+00,5.282525E+04,4.961219E+04 
00:10:00,3.862201E+00,7.966398E+00,1.125658E+05,8.489134E+04,4.132073E+01,8.256780E+01,1.134158E+06,8.815924E+05,5.415995E+00,8.861650E+00,9.443710E+04,9.496635E+04,1.409379E+00,4.606193E+00,5.282525E+04,4.945893E+04 
00:15:00,3.860764E+00,7.941782E+00,1.125605E+05,8.446286E+04,4.130206E+01,8.228998E+01,1.134108E+06,8.769513E+05,5.418996E+00,8.813812E+00,9.442414E+04,9.427655E+04,1.409379E+00,4.599297E+00,5.282525E+04,4.930558E+04 
00:20:00,3.859329E+00,7.917255E+00,1.125553E+05,8.403537E+04,4.128342E+01,8.201354E+01,1.134058E+06,8.723257E+05,5.421956E+00,8.766269E+00,9.441136E+04,9.359006E+04,1.409379E+00,4.592396E+00,5.282525E+04,4.915217E+04 
00:25:00,3.857896E+00,7.892831E+00,1.125500E+05,8.360906E+04,4.126479E+01,8.173864E+01,1.134008E+06,8.677176E+05,5.424873E+00,8.719040E+00,9.439877E+04,9.290711E+04,1.409379E+00,4.585492E+00,5.282525E+04,4.899873E+04 
00:30:00,3.856466E+00,7.868524E+00,1.125447E+05,8.318406E+04,4.124618E+01,8.146540E+01,1.133958E+06,8.631282E+05,5.427746E+00,8.672139E+00,9.438636E+04,9.222786E+04,1.409379E+00,4.578586E+00,5.282525E+04,4.884527E+04 
00:35:00,3.856558E+00,7.856256E+00,1.125450E+05,8.289455E+04,4.124727E+01,8.131437E+01,1.133961E+06,8.599141E+05,5.430578E+00,8.635134E+00,9.437413E+04,9.165997E+04,1.409379E+00,4.576707E+00,5.282525E+04,4.874838E+04 
00:40:00,3.856649E+00,7.844304E+00,1.125454E+05,8.260858E+04,4.124836E+01,8.116697E+01,1.133964E+06,8.567407E+05,5.433366E+00,8.598664E+00,9.436209E+04,9.109810E+04,1.409379E+00,4.574903E+00,5.282525E+04,4.865233E+04 
00:45:00,3.856741E+00,7.832488E+00,1.125457E+05,8.232416E+04,4.124945E+01,8.102138E+01,1.133967E+06,8.535878E+05,5.436113E+00,8.562541E+00,9.435022E+04,9.054013E+04,1.409379E+00,4.573119E+00,5.282525E+04,4.855651E+04 
00:50:00,3.856832E+00,7.820786E+00,1.125461E+05,8.204099E+04,4.125054E+01,8.087737E+01,1.133970E+06,8.504524E+05,5.438818E+00,8.526736E+00,9.433854E+04,8.998573E+04,1.409379E+00,4.571353E+00,5.282525E+04,4.846089E+04 
