Time,BASEMENT::Des Heat Load [W],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BASEMENT::Des Heat Mass Flow [kg/s],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_BOTTOM::Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM::Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID::Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID::Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s] 
00:05:00,0.000000E+00,3.964836E+04,0.000000E+00,3.468482E+00,0.000000E+00,4.760032E+04,0.000000E+00,4.164125E+00,0.000000E+00,4.955500E+05,0.000000E+00,4.335121E+01,4.583914E+04,5.363850E+04,1.550105E+00,4.692341E+00,1.245695E+04,6.232552E+03,4.211646E-01,5.453474E-01,8.363997E+03,4.181278E+03,2.827820E-01,3.658633E-01,1.220456E+04,5.915302E+03,4.126315E-01,5.175880E-01,8.345792E+03,4.747476E+03,2.821665E-01,4.154059E-01,1.426509E+05,6.359960E+04,4.822972E+00,5.564954E+00,9.405571E+04,4.249439E+04,3.179971E+00,3.718273E+00,1.412118E+05,6.077283E+04,4.774319E+00,5.317610E+00,9.590587E+04,4.958517E+04,3.242524E+00,4.338717E+00,2.251850E+04,6.753343E+03,7.613455E-01,5.909151E-01,1.466233E+04,4.502385E+03,4.957276E-01,3.939594E-01,2.243034E+04,6.498335E+03,7.583648E-01,5.686018E-01,1.491751E+04,5.179887E+03,5.043551E-01,4.532408E-01 
00:10:00,0.000000E+00,3.958919E+04,0.000000E+00,3.463303E+00,0.000000E+00,4.750571E+04,0.000000E+00,4.155846E+00,0.000000E+00,4.945252E+05,0.000000E+00,4.326153E+01,4.588703E+04,5.341284E+04,1.551724E+00,4.672598E+00,1.244725E+04,6.198998E+03,4.208369E-01,5.424105E-01,8.357745E+03,4.157585E+03,2.825707E-01,3.637896E-01,1.219474E+04,5.884227E+03,4.122996E-01,5.148681E-01,8.339541E+03,4.718374E+03,2.819552E-01,4.128588E-01,1.425243E+05,6.321866E+04,4.818693E+00,5.531613E+00,9.397481E+04,4.223058E+04,3.177236E+00,3.695183E+00,1.410846E+05,6.041687E+04,4.770017E+00,5.286456E+00,9.582497E+04,4.921449E+04,3.239788E+00,4.306274E+00,2.252442E+04,6.699940E+03,7.615455E-01,5.862414E-01,1.466616E+04,4.466077E+03,4.958570E-01,3.907817E-01,2.243628E+04,6.447417E+03,7.585655E-01,5.641457E-01,1.492133E+04,5.132888E+03,5.044843E-01,4.491276E-01 
00:15:00,0.000000E+00,3.952995E+04,0.000000E+00,3.458118E+00,0.000000E+00,4.741081E+04,0.000000E+00,4.147542E+00,0.000000E+00,4.934987E+05,0.000000E+00,4.317170E+01,4.593448E+04,5.318797E+04,1.553329E+00,4.652924E+00,1.243758E+04,6.165686E+03,4.205097E-01,5.394948E-01,8.351504E+03,4.134073E+03,2.823597E-01,3.617317E-01,1.218494E+04,5.853380E+03,4.119682E-01,5.121681E-01,8.333302E+03,4.689466E+03,2.817442E-01,4.103285E-01,1.423979E+05,6.284066E+04,4.814420E+00,5.498528E+00,9.389401E+04,4.196889E+04,3.174504E+00,3.672279E+00,1.409575E+05,6.006379E+04,4.765720E+00,5.255552E+00,9.574416E+04,4.884697E+04,3.237056E+00,4.274107E+00,2.253026E+04,6.646949E+03,7.617431E-01,5.816037E-01,1.466994E+04,4.430059E+03,4.959849E-01,3.876295E-01,2.244215E+04,6.396910E+03,7.587638E-01,5.597253E-01,1.492511E+04,5.086230E+03,5.046120E-01,4.450442E-01 
00:20:00,0.000000E+00,3.947067E+04,0.000000E+00,3.452929E+00,0.000000E+00,4.731575E+04,0.000000E+00,4.139222E+00,0.000000E+00,4.924718E+05,0.000000E+00,4.308183E+01,4.598133E+04,5.296400E+04,1.554913E+00,4.633329E+00,1.242792E+04,6.132641E+03,4.201831E-01,5.366024E-01,8.345273E+03,4.110758E+03,2.821490E-01,3.596909E-01,1.217515E+04,5.822784E+03,4.116373E-01,5.094901E-01,8.327072E+03,4.660776E+03,2.815336E-01,4.078173E-01,1.422717E+05,6.246585E+04,4.810151E+00,5.465722E+00,9.381330E+04,4.170949E+04,3.171775E+00,3.649574E+00,1.408305E+05,5.971382E+04,4.761427E+00,5.224920E+00,9.566344E+04,4.848313E+04,3.234327E+00,4.242263E+00,2.253602E+04,6.594404E+03,7.619377E-01,5.770048E-01,1.467366E+04,4.394354E+03,4.961107E-01,3.845045E-01,2.244792E+04,6.346840E+03,7.589591E-01,5.553431E-01,1.492883E+04,5.040009E+03,5.047377E-01,4.409988E-01 
00:25:00,0.000000E+00,3.941136E+04,0.000000E+00,3.447738E+00,0.000000E+00,4.722060E+04,0.000000E+00,4.130895E+00,0.000000E+00,4.914451E+05,0.000000E+00,4.299198E+01,4.602752E+04,5.274101E+04,1.556475E+00,4.613818E+00,1.241827E+04,6.099879E+03,4.198569E-01,5.337347E-01,8.339052E+03,4.087651E+03,2.819386E-01,3.576683E-01,1.216538E+04,5.792456E+03,4.113070E-01,5.068354E-01,8.320851E+03,4.632318E+03,2.813233E-01,4.053264E-01,1.421456E+05,6.209445E+04,4.805887E+00,5.433214E+00,9.373267E+04,4.145250E+04,3.169049E+00,3.627080E+00,1.407037E+05,5.936713E+04,4.757139E+00,5.194576E+00,9.558281E+04,4.812329E+04,3.231601E+00,4.210768E+00,2.254168E+04,6.542327E+03,7.621292E-01,5.724470E-01,1.467733E+04,4.358974E+03,4.962346E-01,3.814079E-01,2.245361E+04,6.297226E+03,7.591512E-01,5.510009E-01,1.493249E+04,4.994265E+03,5.048614E-01,4.369953E-01 
00:30:00,0.000000E+00,3.935204E+04,0.000000E+00,3.442546E+00,0.000000E+00,4.712541E+04,0.000000E+00,4.122564E+00,0.000000E+00,4.904191E+05,0.000000E+00,4.290219E+01,4.607305E+04,5.251905E+04,1.558015E+00,4.594397E+00,1.240864E+04,6.067415E+03,4.195313E-01,5.308931E-01,8.332839E+03,4.064762E+03,2.817286E-01,3.556648E-01,1.215563E+04,5.762408E+03,4.109771E-01,5.042053E-01,8.314640E+03,4.604107E+03,2.811133E-01,4.028570E-01,1.420196E+05,6.172659E+04,4.801626E+00,5.401016E+00,9.365212E+04,4.119803E+04,3.166326E+00,3.604807E+00,1.405770E+05,5.902386E+04,4.752855E+00,5.164529E+00,9.550225E+04,4.776764E+04,3.228877E+00,4.179639E+00,2.254725E+04,6.490737E+03,7.623176E-01,5.679317E-01,1.468093E+04,4.323931E+03,4.963565E-01,3.783409E-01,2.245920E+04,6.248085E+03,7.593403E-01,5.466999E-01,1.493608E+04,4.949025E+03,5.049831E-01,4.330358E-01 
00:35:00,0.000000E+00,3.933591E+04,0.000000E+00,3.441133E+00,0.000000E+00,4.710387E+04,0.000000E+00,4.120675E+00,0.000000E+00,4.901408E+05,0.000000E+00,4.287780E+01,4.611794E+04,5.235724E+04,1.559533E+00,4.580238E+00,1.240926E+04,6.043996E+03,4.195522E-01,5.288428E-01,8.333237E+03,4.047716E+03,2.817421E-01,3.541725E-01,1.215625E+04,5.741387E+03,4.109982E-01,5.023648E-01,8.315038E+03,4.581794E+03,2.811267E-01,4.009038E-01,1.420269E+05,6.145011E+04,4.801876E+00,5.376812E+00,9.365684E+04,4.100262E+04,3.166485E+00,3.587700E+00,1.405844E+05,5.877193E+04,4.753105E+00,5.142475E+00,9.550697E+04,4.747286E+04,3.229037E+00,4.153837E+00,2.255273E+04,6.446655E+03,7.625029E-01,5.640734E-01,1.468448E+04,4.293748E+03,4.964763E-01,3.756991E-01,2.246470E+04,6.206431E+03,7.595263E-01,5.430541E-01,1.493962E+04,4.908829E+03,5.051028E-01,4.295178E-01 
00:40:00,0.000000E+00,3.932044E+04,0.000000E+00,3.439776E+00,0.000000E+00,4.708412E+04,0.000000E+00,4.118944E+00,0.000000E+00,4.898814E+05,0.000000E+00,4.285507E+01,4.616217E+04,5.219834E+04,1.561029E+00,4.566334E+00,1.240988E+04,6.020839E+03,4.195732E-01,5.268156E-01,8.333635E+03,4.030860E+03,2.817555E-01,3.526969E-01,1.215687E+04,5.720604E+03,4.110192E-01,5.005455E-01,8.315436E+03,4.559710E+03,2.811402E-01,3.989707E-01,1.420343E+05,6.117671E+04,4.802125E+00,5.352880E+00,9.366156E+04,4.080938E+04,3.166645E+00,3.570785E+00,1.405918E+05,5.852291E+04,4.753355E+00,5.120676E+00,9.551170E+04,4.718203E+04,3.229197E+00,4.128381E+00,2.255813E+04,6.403019E+03,7.626853E-01,5.602542E-01,1.468796E+04,4.263873E+03,4.965942E-01,3.730843E-01,2.247011E+04,6.165205E+03,7.597093E-01,5.394458E-01,1.494311E+04,4.869122E+03,5.052205E-01,4.260426E-01 
00:45:00,0.000000E+00,3.930513E+04,0.000000E+00,3.438435E+00,0.000000E+00,4.706503E+04,0.000000E+00,4.117271E+00,0.000000E+00,4.896296E+05,0.000000E+00,4.283301E+01,4.620576E+04,5.204118E+04,1.562503E+00,4.552582E+00,1.241050E+04,5.997820E+03,4.195941E-01,5.248005E-01,8.334033E+03,4.014112E+03,2.817690E-01,3.512309E-01,1.215749E+04,5.699939E+03,4.110402E-01,4.987364E-01,8.315834E+03,4.537774E+03,2.811536E-01,3.970505E-01,1.420417E+05,6.090516E+04,4.802374E+00,5.329110E+00,9.366629E+04,4.061751E+04,3.166805E+00,3.553990E+00,1.405992E+05,5.827556E+04,4.753605E+00,5.099025E+00,9.551642E+04,4.689430E+04,3.229356E+00,4.103197E+00,2.256343E+04,6.359702E+03,7.628646E-01,5.564630E-01,1.469139E+04,4.234222E+03,4.967102E-01,3.704892E-01,2.247543E+04,6.124279E+03,7.598893E-01,5.358640E-01,1.494653E+04,4.829817E+03,5.053363E-01,4.226026E-01 
00:50:00,0.000000E+00,3.928998E+04,0.000000E+00,3.437107E+00,0.000000E+00,4.704646E+04,0.000000E+00,4.115644E+00,0.000000E+00,4.893840E+05,0.000000E+00,4.281149E+01,4.624872E+04,5.188558E+04,1.563956E+00,4.538967E+00,1.241112E+04,5.974918E+03,4.196151E-01,5.227958E-01,8.334431E+03,3.997460E+03,2.817824E-01,3.497732E-01,1.215811E+04,5.679370E+03,4.110612E-01,4.969359E-01,8.316231E+03,4.515972E+03,2.811671E-01,3.951422E-01,1.420490E+05,6.063524E+04,4.802624E+00,5.305484E+00,9.367101E+04,4.042687E+04,3.166965E+00,3.537303E+00,1.406066E+05,5.802968E+04,4.753855E+00,5.077502E+00,9.552115E+04,4.660951E+04,3.229516E+00,4.078271E+00,2.256865E+04,6.316680E+03,7.630410E-01,5.526977E-01,1.469477E+04,4.204781E+03,4.968243E-01,3.679125E-01,2.248067E+04,6.083631E+03,7.600663E-01,5.323064E-01,1.494990E+04,4.790896E+03,5.054502E-01,4.191963E-01 
